item_id,agent_id,annotator_id,label
convabuse_245846.0,E.L.I.Z.A.,Annotator7,0
convabuse_159183.0,E.L.I.Z.A.,Annotator7,0
convabuse_340147.0,E.L.I.Z.A.,Annotator7,0
convabuse_95cbaab0f8cb4cb59a3393e7fc61cafe,CarbonBot,Annotator7,0
convabuse_270732.0,E.L.I.Z.A.,Annotator7,0
convabuse_85079.0,E.L.I.Z.A.,Annotator7,0
convabuse_310174.0,E.L.I.Z.A.,Annotator7,0
convabuse_252274.0,E.L.I.Z.A.,Annotator7,2
convabuse_206012.0,E.L.I.Z.A.,Annotator7,0
convabuse_172430.0,E.L.I.Z.A.,Annotator7,0
convabuse_133140.0,E.L.I.Z.A.,Annotator7,0
convabuse_272896.0,E.L.I.Z.A.,Annotator7,0
convabuse_397351.0,E.L.I.Z.A.,Annotator7,0
convabuse_146569.0,E.L.I.Z.A.,Annotator7,0
convabuse_107154.0,E.L.I.Z.A.,Annotator7,0
convabuse_293123.0,E.L.I.Z.A.,Annotator7,0
convabuse_213776.0,E.L.I.Z.A.,Annotator7,0
convabuse_353411.0,E.L.I.Z.A.,Annotator7,0
convabuse_2929255770426965,CarbonBot,Annotator7,0
convabuse_392999.0,E.L.I.Z.A.,Annotator7,0
convabuse_77677.0,E.L.I.Z.A.,Annotator7,0
convabuse_128206.0,E.L.I.Z.A.,Annotator7,0
convabuse_273875.0,E.L.I.Z.A.,Annotator7,0
convabuse_365342.0,E.L.I.Z.A.,Annotator7,0
convabuse_473406.0,E.L.I.Z.A.,Annotator7,0
convabuse_466324.0,E.L.I.Z.A.,Annotator7,0
convabuse_187142.0,E.L.I.Z.A.,Annotator7,0
convabuse_2548503415278014,CarbonBot,Annotator7,0
convabuse_247858.0,E.L.I.Z.A.,Annotator7,0
convabuse_363108.0,E.L.I.Z.A.,Annotator7,0
convabuse_423219.0,E.L.I.Z.A.,Annotator7,0
convabuse_300085.0,E.L.I.Z.A.,Annotator7,0
convabuse_288522.0,E.L.I.Z.A.,Annotator7,2
convabuse_237965.0,E.L.I.Z.A.,Annotator7,2
convabuse_117194.0,E.L.I.Z.A.,Annotator7,0
convabuse_11958.0,E.L.I.Z.A.,Annotator7,0
convabuse_34136.0,E.L.I.Z.A.,Annotator7,0
convabuse_212695.0,E.L.I.Z.A.,Annotator7,0
convabuse_2687892177913979,CarbonBot,Annotator7,0
convabuse_2485257761521706,CarbonBot,Annotator7,0
convabuse_437513.0,E.L.I.Z.A.,Annotator7,0
convabuse_435515.0,E.L.I.Z.A.,Annotator7,0
convabuse_197807.0,E.L.I.Z.A.,Annotator7,0
convabuse_4086470061426815,CarbonBot,Annotator7,0
convabuse_398757.0,E.L.I.Z.A.,Annotator7,0
convabuse_148981.0,E.L.I.Z.A.,Annotator7,0
convabuse_2614098785326147,CarbonBot,Annotator7,0
convabuse_535891.0,E.L.I.Z.A.,Annotator7,0
convabuse_192608.0,E.L.I.Z.A.,Annotator7,0
convabuse_247883.0,E.L.I.Z.A.,Annotator7,0
convabuse_2642033339221374,CarbonBot,Annotator7,0
convabuse_344890.0,E.L.I.Z.A.,Annotator7,0
convabuse_126793.0,E.L.I.Z.A.,Annotator7,0
convabuse_418124.0,E.L.I.Z.A.,Annotator7,0
convabuse_538730.0,E.L.I.Z.A.,Annotator7,0
convabuse_324684.0,E.L.I.Z.A.,Annotator7,0
convabuse_181413.0,E.L.I.Z.A.,Annotator7,0
convabuse_3302099406530691,CarbonBot,Annotator7,0
convabuse_446748.0,E.L.I.Z.A.,Annotator7,2
convabuse_195102.0,E.L.I.Z.A.,Annotator7,1
convabuse_32674.0,E.L.I.Z.A.,Annotator7,2
convabuse_431400.0,E.L.I.Z.A.,Annotator7,0
convabuse_431787.0,E.L.I.Z.A.,Annotator7,0
convabuse_427941.0,E.L.I.Z.A.,Annotator7,0
convabuse_2.62733E+15,CarbonBot,Annotator7,0
convabuse_176054.0,E.L.I.Z.A.,Annotator7,0
convabuse_376573.0,E.L.I.Z.A.,Annotator7,0
convabuse_2632579316833428,CarbonBot,Annotator7,0
convabuse_fb6eefee0b9e4e1f8306a0debdaf9132,CarbonBot,Annotator7,0
convabuse_416529.0,E.L.I.Z.A.,Annotator7,0
convabuse_61471.0,E.L.I.Z.A.,Annotator7,0
convabuse_2.91829E+15,CarbonBot,Annotator7,0
convabuse_2434665576632664,CarbonBot,Annotator7,0
convabuse_317637.0,E.L.I.Z.A.,Annotator7,1
convabuse_2800401963340464,CarbonBot,Annotator7,0
convabuse_433738.0,E.L.I.Z.A.,Annotator7,0
convabuse_3452770921417556,CarbonBot,Annotator7,0
convabuse_3225740117489949,CarbonBot,Annotator7,0
convabuse_278779.0,E.L.I.Z.A.,Annotator7,2
convabuse_363490.0,E.L.I.Z.A.,Annotator7,0
convabuse_406631.0,E.L.I.Z.A.,Annotator7,0
convabuse_430729.0,E.L.I.Z.A.,Annotator7,0
convabuse_268258.0,E.L.I.Z.A.,Annotator7,2
