item_id,agent_id,annotator_id,label
mslr_Cochrane_CD002988,PX7SGV,annotator_0,0
mslr_Cochrane_CD002988,PX7SGV,annotator_1,1
mslr_Cochrane_CD001487,SPNXTA,annotator_0,1
mslr_Cochrane_CD001487,SPNXTA,annotator_1,0
mslr_Cochrane_CD004787,PX7SGV,annotator_0,2
mslr_Cochrane_CD004787,PX7SGV,annotator_1,2
mslr_Cochrane_CD009275,PX7SGV,annotator_0,2
mslr_Cochrane_CD009275,PX7SGV,annotator_1,2
mslr_Cochrane_CD002282,SPNXTA,annotator_0,2
mslr_Cochrane_CD002282,SPNXTA,annotator_1,2
mslr_Cochrane_CD002282,8FWF5T,annotator_0,2
mslr_Cochrane_CD002282,8FWF5T,annotator_1,2
mslr_Cochrane_CD002282,PX7SGV,annotator_0,2
mslr_Cochrane_CD002282,PX7SGV,annotator_1,2
mslr_Cochrane_CD009202,8FWF5T,annotator_0,1
mslr_Cochrane_CD009202,8FWF5T,annotator_1,1
mslr_Cochrane_CD009202,AQ85CE,annotator_0,2
mslr_Cochrane_CD009202,AQ85CE,annotator_1,2
mslr_Cochrane_CD002873,SPNXTA,annotator_0,2
mslr_Cochrane_CD002873,SPNXTA,annotator_1,1
mslr_Cochrane_CD002873,8FWF5T,annotator_0,1
mslr_Cochrane_CD002873,8FWF5T,annotator_1,0
mslr_Cochrane_CD002873,JB6Z8F,annotator_0,1
mslr_Cochrane_CD002873,JB6Z8F,annotator_1,1
mslr_Cochrane_CD002873,AQ85CE,annotator_0,1
mslr_Cochrane_CD002873,AQ85CE,annotator_1,1
mslr_Cochrane_CD002873,VNCH8M,annotator_0,2
mslr_Cochrane_CD002873,VNCH8M,annotator_1,2
mslr_Cochrane_CD002873,PX7SGV,annotator_0,2
mslr_Cochrane_CD002873,PX7SGV,annotator_1,2
mslr_Cochrane_CD008288,8FWF5T,annotator_0,2
mslr_Cochrane_CD008288,8FWF5T,annotator_1,1
mslr_Cochrane_CD006033,SPNXTA,annotator_0,1
mslr_Cochrane_CD006033,SPNXTA,annotator_1,1
mslr_Cochrane_CD003219,8FWF5T,annotator_0,1
mslr_Cochrane_CD003219,8FWF5T,annotator_1,1
mslr_Cochrane_CD006883,VNCH8M,annotator_0,1
mslr_Cochrane_CD006883,VNCH8M,annotator_1,2
mslr_Cochrane_CD007579,JB6Z8F,annotator_0,2
mslr_Cochrane_CD007579,JB6Z8F,annotator_1,2
mslr_Cochrane_CD008493,SPNXTA,annotator_0,1
mslr_Cochrane_CD008493,SPNXTA,annotator_1,2
mslr_Cochrane_CD008493,8FWF5T,annotator_0,0
mslr_Cochrane_CD008493,8FWF5T,annotator_1,1
mslr_Cochrane_CD008493,JB6Z8F,annotator_0,1
mslr_Cochrane_CD008493,JB6Z8F,annotator_1,2
mslr_Cochrane_CD008493,AQ85CE,annotator_0,1
mslr_Cochrane_CD008493,AQ85CE,annotator_1,1
mslr_Cochrane_CD008493,VNCH8M,annotator_0,2
mslr_Cochrane_CD008493,VNCH8M,annotator_1,2
mslr_Cochrane_CD008493,PX7SGV,annotator_0,1
mslr_Cochrane_CD008493,PX7SGV,annotator_1,1
mslr_Cochrane_CD008216,VNCH8M,annotator_0,1
mslr_Cochrane_CD008216,VNCH8M,annotator_1,1
mslr_Cochrane_CD007979,JB6Z8F,annotator_0,0
mslr_Cochrane_CD007979,JB6Z8F,annotator_1,0
mslr_Cochrane_CD006771,8FWF5T,annotator_0,1
mslr_Cochrane_CD006771,8FWF5T,annotator_1,1
mslr_Cochrane_CD006771,JB6Z8F,annotator_0,2
mslr_Cochrane_CD006771,JB6Z8F,annotator_1,1
mslr_Cochrane_CD008510,JB6Z8F,annotator_0,1
mslr_Cochrane_CD008510,JB6Z8F,annotator_1,2
mslr_Cochrane_CD000972,JB6Z8F,annotator_0,1
mslr_Cochrane_CD000972,JB6Z8F,annotator_1,1
mslr_Cochrane_CD003420,PX7SGV,annotator_0,1
mslr_Cochrane_CD003420,PX7SGV,annotator_1,1
mslr_Cochrane_CD003700,SPNXTA,annotator_0,2
mslr_Cochrane_CD003700,SPNXTA,annotator_1,2
mslr_Cochrane_CD003700,8FWF5T,annotator_0,1
mslr_Cochrane_CD003700,8FWF5T,annotator_1,1
mslr_Cochrane_CD003700,JB6Z8F,annotator_0,1
mslr_Cochrane_CD003700,JB6Z8F,annotator_1,1
mslr_Cochrane_CD003700,AQ85CE,annotator_0,1
mslr_Cochrane_CD003700,AQ85CE,annotator_1,1
mslr_Cochrane_CD003700,VNCH8M,annotator_0,1
mslr_Cochrane_CD003700,VNCH8M,annotator_1,2
mslr_Cochrane_CD003700,PX7SGV,annotator_0,1
mslr_Cochrane_CD003700,PX7SGV,annotator_1,1
