item_id,p_class_0,p_class_1,p_class_2,credit,agent_id
mtbench_81_turn1_alpaca-13b,0.9995478638830485,0.0002863189031063205,0.00016581721384525486,0.0003089766653984151,alpaca-13b
mtbench_81_turn1_gpt-3.5-turbo,2.4321063114278228e-08,3.448541083733683e-06,0.999996527137853,0.9999982514083949,gpt-3.5-turbo
mtbench_81_turn2_alpaca-13b,0.9967515017122545,0.0014219522014927476,0.0018265460862529166,0.0025375221869992906,alpaca-13b
mtbench_81_turn2_gpt-3.5-turbo,5.09897958563595e-09,1.1327915111286347e-09,0.9999999937682289,0.9999999943346246,gpt-3.5-turbo
mtbench_81_turn1_vicuna-13b-v1.2,0.0017162488113795118,0.0008556639739865472,0.9974280872146339,0.9978559192016272,vicuna-13b-v1.2
mtbench_81_turn2_vicuna-13b-v1.2,0.004488647895089116,0.00042122782492097944,0.9950901242799899,0.9953007381924504,vicuna-13b-v1.2
mtbench_81_turn1_claude-v1,0.0014652343246473307,0.03068416142660776,0.9678506042487449,0.9831926849620488,claude-v1
mtbench_81_turn2_claude-v1,0.024402466941082984,0.918545635737204,0.05705189732171282,0.5163247151903149,claude-v1
mtbench_81_turn1_llama-13b,0.9485029549604013,0.0004970090449584883,0.05100003599464019,0.05124854051711943,llama-13b
mtbench_81_turn2_llama-13b,0.9478096428329763,0.018145558763935515,0.03404479840308818,0.04311757778505594,llama-13b
mtbench_81_turn1_gpt-4,0.001246204533401568,0.009985088521643998,0.9887687069449544,0.9937612512057764,gpt-4
mtbench_81_turn2_gpt-4,0.001246204533401568,0.009985088521643998,0.9887687069449544,0.9937612512057764,gpt-4
mtbench_82_turn1_alpaca-13b,0.012371455670514977,0.00014563870917862307,0.9874829056203064,0.9875557249748957,alpaca-13b
mtbench_82_turn1_gpt-3.5-turbo,4.9443126848693375e-05,1.051181710953776e-06,0.9999495056914403,0.9999500312822958,gpt-3.5-turbo
mtbench_82_turn2_alpaca-13b,0.0023918389302616198,5.345947670905912e-07,0.9976076264749711,0.9976078937723547,alpaca-13b
mtbench_82_turn2_gpt-3.5-turbo,0.6422320428062612,3.808364070714844e-09,0.3577679533853747,0.35776795528955674,gpt-3.5-turbo
mtbench_82_turn1_llama-13b,0.4475206433779245,8.491755378847654e-08,0.5524792717045217,0.5524793141632987,llama-13b
mtbench_82_turn2_llama-13b,0.9998802102277945,5.459040550482223e-10,0.00011978922630143204,0.00011978949925345957,llama-13b
mtbench_82_turn1_vicuna-13b-v1.2,8.882767868458452e-05,0.004097366694434604,0.9958138056268808,0.9978624889740981,vicuna-13b-v1.2
mtbench_82_turn2_vicuna-13b-v1.2,1.3037624758449828e-11,6.167926204078888e-05,0.9999383207249216,0.999969160355942,vicuna-13b-v1.2
mtbench_82_turn1_claude-v1,1.049759439232093e-08,5.992591680268785e-05,0.9999400635856028,0.9999700265440041,claude-v1
mtbench_82_turn2_claude-v1,1.1625713083438984e-08,1.885677473817319e-08,0.9999999695175121,0.9999999789458995,claude-v1
mtbench_82_turn1_gpt-4,0.40375198152199937,5.99836586849676e-09,0.5962480124796348,0.5962480154788177,gpt-4
mtbench_82_turn2_gpt-4,0.0003963096050313945,8.304321790921046e-08,0.9996036073517507,0.9996036488733596,gpt-4
mtbench_83_turn1_alpaca-13b,0.0015765195860131499,0.6654448223440125,0.33297865806997434,0.6657010692419806,alpaca-13b
mtbench_83_turn1_claude-v1,0.003910247222177066,0.002163613036352368,0.9939261397414706,0.9950079462596467,claude-v1
