config,repetition,method,mse,kendall_tau,ranking_accuracy,adversarial_fraction
adv_00,0,mv,0.0021783333333333338,0.9999999999999999,1.0,0.0
adv_00,0,ds,0.0016276666666666668,0.9999999999999999,1.0,0.0
adv_00,0,pec,0.0022275816504740433,0.9999999999999999,1.0,0.0
adv_00,1,mv,0.0034423333333333324,0.9999999999999999,1.0,0.0
adv_00,1,ds,0.002161666666666667,0.9999999999999999,1.0,0.0
adv_00,1,pec,0.002901834239061065,0.9999999999999999,1.0,0.0
adv_00,2,mv,0.002244333333333334,0.9999999999999999,1.0,0.0
adv_00,2,ds,0.001459333333333334,0.9999999999999999,1.0,0.0
adv_00,2,pec,0.0020787713762877927,0.9999999999999999,1.0,0.0
adv_00,3,mv,0.002227166666666667,0.9999999999999999,1.0,0.0
adv_00,3,ds,0.0014064999999999998,0.9999999999999999,1.0,0.0
adv_00,3,pec,0.001962169747088123,0.9999999999999999,1.0,0.0
adv_00,4,mv,0.002966833333333334,0.9999999999999999,1.0,0.0
adv_00,4,ds,0.0019200000000000007,0.9999999999999999,1.0,0.0
adv_00,4,pec,0.003179578676332196,0.9999999999999999,1.0,0.0
adv_00,5,mv,0.0015488333333333333,0.9999999999999999,1.0,0.0
adv_00,5,ds,0.0012995,0.9999999999999999,1.0,0.0
adv_00,5,pec,0.0018968969080057421,0.9999999999999999,1.0,0.0
adv_00,6,mv,0.001992166666666667,0.9999999999999999,1.0,0.0
adv_00,6,ds,0.001518333333333334,0.9999999999999999,1.0,0.0
adv_00,6,pec,0.0023635289587605767,0.9999999999999999,1.0,0.0
adv_00,7,mv,0.0011511666666666677,0.9999999999999999,1.0,0.0
adv_00,7,ds,0.0005048333333333333,0.9999999999999999,1.0,0.0
adv_00,7,pec,0.0009959482382195651,0.9999999999999999,1.0,0.0
adv_00,8,mv,0.0019396666666666661,0.9999999999999999,1.0,0.0
adv_00,8,ds,0.0014358333333333339,0.9999999999999999,1.0,0.0
adv_00,8,pec,0.002376076426558279,0.9999999999999999,1.0,0.0
adv_00,9,mv,0.002177333333333335,0.9999999999999999,1.0,0.0
adv_00,9,ds,0.001369166666666669,0.9999999999999999,1.0,0.0
