config,method,adversarial_fraction,mse_mean,mse_std,mse_se,kendall_tau_mean,kendall_tau_std,kendall_tau_se,ranking_accuracy_mean,ranking_accuracy_std,ranking_accuracy_se
adv_00,mv,0.0,0.0020203316666666665,0.00041229546410243733,4.122954641024373e-05,0.996,0.022744962812309304,0.0022744962812309305,0.998,0.011372481406154652,0.0011372481406154652
adv_00,ds,0.0,0.0013837850000000004,0.0003820731105829818,3.820731105829818e-05,0.9969942511641261,0.01892138211755723,0.0018921382117557228,0.9983333333333334,0.00986013297183269,0.0009860132971832689
adv_00,pec,0.0,0.002054903397164064,0.0004727370467484745,4.727370467484745e-05,0.9973333333333332,0.01866666666666666,0.0018666666666666662,0.9986666666666667,0.00933333333333333,0.0009333333333333331
adv_10,mv,0.1,0.003135625000000001,0.0005822645267378239,5.822645267378239e-05,0.9973333333333332,0.01866666666666666,0.0018666666666666662,0.9986666666666667,0.00933333333333333,0.0009333333333333331
adv_10,ds,0.1,0.0016867600000000003,0.00045691679665631294,4.569167966563129e-05,0.9973333333333332,0.01866666666666666,0.0018666666666666662,0.9986666666666667,0.00933333333333333,0.0009333333333333331
adv_10,pec,0.1,0.0025767382174260805,0.0005614062532605936,5.6140625326059354e-05,0.9986666666666665,0.013266499161421594,0.0013266499161421594,0.9993333333333334,0.006633249580710798,0.0006633249580710798
adv_20,mv,0.2,0.004291935,0.000686094344377004,6.860943443770039e-05,0.9929942511641262,0.029177149344734796,0.0029177149344734796,0.9963333333333333,0.014828650946356808,0.0014828650946356807
adv_20,ds,0.2,0.002036853333333333,0.0005731981760651757,5.731981760651757e-05,0.9913218356615857,0.031848884970701485,0.0031848884970701484,0.9953333333333333,0.01634353422950835,0.001634353422950835
adv_20,pec,0.2,0.0032100161931785188,0.0006939484556146254,6.939484556146253e-05,0.9946666666666666,0.026127890589687227,0.0026127890589687226,0.9973333333333333,0.013063945294843613,0.0013063945294843613
adv_30,mv,0.3,0.006311636666666668,0.0010154709628158857,0.00010154709628158857,0.9836609178307927,0.043334344335049624,0.0043334344335049626,0.9916666666666667,0.02179449471770336,0.002179449471770336
adv_30,ds,0.3,0.002573641666666666,0.0006968183923196915,6.968183923196914e-05,0.9916609178307928,0.03175884202846972,0.003175884202846972,0.9956666666666666,0.016093476939431077,0.0016093476939431077
adv_30,pec,0.3,0.004107100516562897,0.0008236465668787423,8.236465668787423e-05,0.996,0.022744962812309307,0.002274496281230931,0.9980000000000001,0.01137248140615465,0.001137248140615465
adv_40,mv,0.4,0.008424193333333333,0.001357617643300204,0.00013576176433002042,0.9769942511641263,0.050044534311654176,0.0050044534311654175,0.9883333333333334,0.0251108652888656,0.00251108652888656
adv_40,ds,0.4,0.00346912,0.001041006611164832,0.0001041006611164832,0.9933333333333332,0.029059326290271147,0.0029059326290271146,0.9966666666666667,0.014529663145135577,0.0014529663145135578
adv_40,pec,0.4,0.005543069975995293,0.0012016050934966819,0.00012016050934966818,0.996,0.022744962812309304,0.0022744962812309305,0.9980000000000001,0.011372481406154652,0.0011372481406154652
