config,method,strict_fraction,mse_mean,mse_std,mse_se,kendall_tau_mean,kendall_tau_std,kendall_tau_se,ranking_accuracy_mean,ranking_accuracy_std,ranking_accuracy_se
strict_00,mv,0.0,0.0019279200000000003,0.00039975662073594504,3.9975662073594505e-05,0.9973333333333332,0.01866666666666666,0.0018666666666666662,0.9986666666666667,0.00933333333333333,0.0009333333333333331
strict_00,ds,0.0,0.0013116566666666668,0.0003654452237568121,3.654452237568121e-05,0.9969942511641261,0.01892138211755723,0.0018921382117557228,0.9983333333333334,0.00986013297183269,0.0009860132971832689
strict_00,pec,0.0,0.001789528514831809,0.000412344981854401,4.12344981854401e-05,0.9973333333333332,0.01866666666666666,0.0018666666666666662,0.9986666666666667,0.00933333333333333,0.0009333333333333331
strict_10,mv,0.1,0.0018458483333333336,0.0003889251749622856,3.889251749622856e-05,0.9973333333333332,0.01866666666666666,0.0018666666666666662,0.9986666666666667,0.00933333333333333,0.0009333333333333331
strict_10,ds,0.1,0.0013190966666666668,0.00038370171442874144,3.8370171442874146e-05,0.992316086825712,0.02939964935949306,0.002939964935949306,0.9956666666666666,0.015387585183445048,0.0015387585183445048
strict_10,pec,0.1,0.0018950855756028704,0.0004371642545654453,4.371642545654453e-05,0.9973333333333332,0.01866666666666666,0.0018666666666666662,0.9986666666666667,0.00933333333333333,0.0009333333333333331
strict_20,mv,0.2,0.0020203316666666665,0.00041229546410243733,4.122954641024373e-05,0.996,0.022744962812309304,0.0022744962812309305,0.998,0.011372481406154652,0.0011372481406154652
strict_20,ds,0.2,0.0013837850000000004,0.0003820731105829818,3.820731105829818e-05,0.9969942511641261,0.01892138211755723,0.0018921382117557228,0.9983333333333334,0.00986013297183269,0.0009860132971832689
strict_20,pec,0.2,0.002054903397164064,0.0004727370467484745,4.727370467484745e-05,0.9973333333333332,0.01866666666666666,0.0018666666666666662,0.9986666666666667,0.00933333333333333,0.0009333333333333331
strict_30,mv,0.3,0.0025348216666666664,0.00046506211010227157,4.650621101022716e-05,0.9933333333333332,0.02905932629027115,0.002905932629027115,0.9966666666666666,0.014529663145135575,0.0014529663145135575
strict_30,ds,0.3,0.0015082566666666669,0.0004208063195422171,4.208063195422171e-05,0.9973333333333332,0.01866666666666666,0.0018666666666666662,0.9986666666666667,0.00933333333333333,0.0009333333333333331
strict_30,pec,0.3,0.002291355987830199,0.000530802553839029,5.30802553839029e-05,0.9973333333333332,0.01866666666666666,0.0018666666666666662,0.9986666666666667,0.00933333333333333,0.0009333333333333331
strict_40,mv,0.4,0.0036496133333333313,0.0006189161964811281,6.18916196481128e-05,0.9943275844974595,0.026276081999131173,0.0026276081999131173,0.9969999999999999,0.013412266359153801,0.00134122663591538
strict_40,ds,0.4,0.0016874400000000001,0.0005248821378387933,5.248821378387933e-05,0.9956609178307929,0.02293476337374375,0.002293476337374375,0.9976666666666667,0.011789826122551594,0.0011789826122551594
strict_40,pec,0.4,0.002595269772854286,0.0006338943267894888,6.338943267894888e-05,0.996,0.022744962812309304,0.0022744962812309305,0.9980000000000001,0.011372481406154652,0.0011372481406154652
