config,repetition,method,mse,kendall_tau,ranking_accuracy,lenient_fraction
lenient_00,0,mv,0.002035000000000001,0.9999999999999999,1.0,0.0
lenient_00,0,ds,0.001348833333333333,0.9999999999999999,1.0,0.0
lenient_00,0,pec,0.0019059178039487418,0.9999999999999999,1.0,0.0
lenient_00,1,mv,0.0032431666666666646,0.9999999999999999,1.0,0.0
lenient_00,1,ds,0.0018646666666666688,0.9999999999999999,1.0,0.0
lenient_00,1,pec,0.002409304233136777,0.9999999999999999,1.0,0.0
lenient_00,2,mv,0.0017866666666666664,0.9999999999999999,1.0,0.0
lenient_00,2,ds,0.0013383333333333346,0.9999999999999999,1.0,0.0
lenient_00,2,pec,0.0017469573226980993,0.9999999999999999,1.0,0.0
lenient_00,3,mv,0.0019971666666666666,0.9999999999999999,1.0,0.0
lenient_00,3,ds,0.0016028333333333328,0.9999999999999999,1.0,0.0
lenient_00,3,pec,0.0017432984205795526,0.9999999999999999,1.0,0.0
lenient_00,4,mv,0.002286000000000001,0.9999999999999999,1.0,0.0
lenient_00,4,ds,0.0013803333333333335,0.9999999999999999,1.0,0.0
lenient_00,4,pec,0.0024233730186074996,0.9999999999999999,1.0,0.0
lenient_00,5,mv,0.0017613333333333346,0.9999999999999999,1.0,0.0
lenient_00,5,ds,0.0010311666666666666,0.9999999999999999,1.0,0.0
lenient_00,5,pec,0.0014784484016603812,0.9999999999999999,1.0,0.0
lenient_00,6,mv,0.001614333333333334,0.9999999999999999,1.0,0.0
lenient_00,6,ds,0.0011581666666666667,0.9999999999999999,1.0,0.0
lenient_00,6,pec,0.0016922988567130033,0.9999999999999999,1.0,0.0
lenient_00,7,mv,0.0012418333333333337,0.9999999999999999,1.0,0.0
lenient_00,7,ds,0.0005589999999999999,0.9999999999999999,1.0,0.0
lenient_00,7,pec,0.0010198013492208535,0.9999999999999999,1.0,0.0
lenient_00,8,mv,0.001654000000000001,0.9999999999999999,1.0,0.0
lenient_00,8,ds,0.0010926666666666671,0.9999999999999999,1.0,0.0
lenient_00,8,pec,0.0018269215101498527,0.9999999999999999,1.0,0.0
lenient_00,9,mv,0.0016045,0.8666666666666666,0.9333333333333333,0.0
lenient_00,9,ds,0.0009505000000000013,0.9999999999999999,1.0,0.0
lenient_00,9,pec,0.0015529567318256436,0.9999999999999999,1.0,0.0
lenient_00,10,mv,0.0017986666666666665,0.9999999999999999,1.0,0.0
lenient_00,10,ds,0.001380333333333333,0.9999999999999999,1.0,0.0
lenient_00,10,pec,0.002096420705363986,0.9999999999999999,1.0,0.0
lenient_00,11,mv,0.0018314999999999974,0.9999999999999999,1.0,0.0
lenient_00,11,ds,0.0014051666666666642,0.9999999999999999,1.0,0.0
lenient_00,11,pec,0.0018012304714289014,0.9999999999999999,1.0,0.0
lenient_00,12,mv,0.0016311666666666668,0.9999999999999999,1.0,0.0
lenient_00,12,ds,0.0008525000000000007,0.9999999999999999,1.0,0.0
lenient_00,12,pec,0.0013222280983509747,0.9999999999999999,1.0,0.0
lenient_00,13,mv,0.0020028333333333335,0.9999999999999999,1.0,0.0
lenient_00,13,ds,0.0011510000000000008,0.9999999999999999,1.0,0.0
lenient_00,13,pec,0.001983849812589422,0.9999999999999999,1.0,0.0
lenient_00,14,mv,0.0017298333333333315,0.9999999999999999,1.0,0.0
lenient_00,14,ds,0.0014004999999999996,0.9999999999999999,1.0,0.0
lenient_00,14,pec,0.0019248676574204068,0.9999999999999999,1.0,0.0
lenient_00,15,mv,0.0016213333333333349,0.9999999999999999,1.0,0.0
lenient_00,15,ds,0.0011928333333333348,0.9999999999999999,1.0,0.0
