config,repetition,method,mse,kendall_tau,ranking_accuracy,hard_item_prob
hard_00,0,mv,0.0011466666666666658,0.9999999999999999,1.0,0.0
hard_00,0,ds,0.0002956666666666669,0.9999999999999999,1.0,0.0
hard_00,0,pec,0.0005686820630191738,0.9999999999999999,1.0,0.0
hard_00,1,mv,0.0011015000000000011,0.9999999999999999,1.0,0.0
hard_00,1,ds,0.0007821666666666672,0.9999999999999999,1.0,0.0
hard_00,1,pec,0.0007993712760250549,0.9999999999999999,1.0,0.0
hard_00,2,mv,0.0013158333333333355,0.9999999999999999,1.0,0.0
hard_00,2,ds,0.00046616666666666746,0.9999999999999999,1.0,0.0
hard_00,2,pec,0.000776934549701311,0.9999999999999999,1.0,0.0
hard_00,3,mv,0.0004231666666666657,0.9999999999999999,1.0,0.0
hard_00,3,ds,1.666666666666669e-05,0.9999999999999999,1.0,0.0
hard_00,3,pec,0.0001039965797942581,0.9999999999999999,1.0,0.0
hard_00,4,mv,0.0010421666666666667,0.9999999999999999,1.0,0.0
hard_00,4,ds,0.0003601666666666662,0.9999999999999999,1.0,0.0
hard_00,4,pec,0.000624318344375235,0.9999999999999999,1.0,0.0
hard_00,5,mv,0.0007243333333333334,0.9999999999999999,1.0,0.0
hard_00,5,ds,0.0003221666666666664,0.9999999999999999,1.0,0.0
hard_00,5,pec,0.0006105418542668554,0.9999999999999999,1.0,0.0
hard_00,6,mv,0.000863333333333334,0.9999999999999999,1.0,0.0
hard_00,6,ds,0.0006606666666666669,0.9999999999999999,1.0,0.0
hard_00,6,pec,0.0008353359174810433,0.9999999999999999,1.0,0.0
hard_00,7,mv,0.0006113333333333341,0.9999999999999999,1.0,0.0
hard_00,7,ds,0.00020366666666666631,0.9999999999999999,1.0,0.0
hard_00,7,pec,0.0003472163874255891,0.9999999999999999,1.0,0.0
hard_00,8,mv,0.0009468333333333342,0.9999999999999999,1.0,0.0
hard_00,8,ds,0.00033783333333333284,0.9999999999999999,1.0,0.0
hard_00,8,pec,0.0005789066886727415,0.9999999999999999,1.0,0.0
hard_00,9,mv,0.0015386666666666667,0.9999999999999999,1.0,0.0
hard_00,9,ds,0.0007405000000000008,0.9999999999999999,1.0,0.0
hard_00,9,pec,0.001102216974066179,0.9999999999999999,1.0,0.0
hard_00,10,mv,0.001062166666666666,0.9999999999999999,1.0,0.0
hard_00,10,ds,0.00040383333333333314,0.9999999999999999,1.0,0.0
hard_00,10,pec,0.0007743767919345445,0.9999999999999999,1.0,0.0
hard_00,11,mv,0.0009963333333333324,0.9999999999999999,1.0,0.0
hard_00,11,ds,0.0001769999999999995,0.9999999999999999,1.0,0.0
hard_00,11,pec,0.000467155912248018,0.9999999999999999,1.0,0.0
hard_00,12,mv,0.0011070000000000001,0.9999999999999999,1.0,0.0
hard_00,12,ds,0.0004286666666666669,0.9999999999999999,1.0,0.0
hard_00,12,pec,0.0006890062393989776,0.9999999999999999,1.0,0.0
hard_00,13,mv,0.0011763333333333333,0.9999999999999999,1.0,0.0
hard_00,13,ds,0.00029283333333333304,0.9999999999999999,1.0,0.0
hard_00,13,pec,0.0005121835859705115,0.9999999999999999,1.0,0.0
hard_00,14,mv,0.0010058333333333328,0.9999999999999999,1.0,0.0
hard_00,14,ds,0.00038449999999999986,0.9999999999999999,1.0,0.0
hard_00,14,pec,0.0006082268842616538,0.9999999999999999,1.0,0.0
hard_00,15,mv,0.0010098333333333342,0.9999999999999999,1.0,0.0
hard_00,15,ds,0.00042166666666666676,0.9999999999999999,1.0,0.0
hard_00,15,pec,0.0006076589213010732,0.9999999999999999,1.0,0.0
hard_00,16,mv,0.0009123333333333327,0.9999999999999999,1.0,0.0
hard_00,16,ds,0.00041933333333333276,0.9999999999999999,1.0,0.0
hard_00,16,pec,0.0007540061508909688,0.9999999999999999,1.0,0.0
hard_00,17,mv,0.0011271666666666659,0.9999999999999999,1.0,0.0
hard_00,17,ds,0.0002414999999999993,0.9999999999999999,1.0,0.0
hard_00,17,pec,0.0004771031085378826,0.9999999999999999,1.0,0.0
hard_00,18,mv,0.0011586666666666666,0.9999999999999999,1.0,0.0
hard_00,18,ds,0.00045599999999999943,0.9999999999999999,1.0,0.0
hard_00,18,pec,0.0007763093363640786,0.9999999999999999,1.0,0.0
hard_00,19,mv,0.001350999999999999,0.9999999999999999,1.0,0.0
hard_00,19,ds,0.0002910000000000001,0.9999999999999999,1.0,0.0
hard_00,19,pec,0.0005649536119079873,0.9999999999999999,1.0,0.0
hard_00,20,mv,0.0012971666666666659,0.9999999999999999,1.0,0.0
hard_00,20,ds,0.00019533333333333252,0.9999999999999999,1.0,0.0
hard_00,20,pec,0.00036679290173970207,0.9999999999999999,1.0,0.0
hard_00,21,mv,0.0012673333333333343,0.8666666666666666,0.9333333333333333,0.0
hard_00,21,ds,0.00017666666666666699,0.9999999999999999,1.0,0.0
hard_00,21,pec,0.00043760736178813093,0.9999999999999999,1.0,0.0
hard_00,22,mv,0.001339666666666667,0.9999999999999999,1.0,0.0
hard_00,22,ds,0.000306,0.9999999999999999,1.0,0.0
hard_00,22,pec,0.00047161049919865016,0.9999999999999999,1.0,0.0
hard_00,23,mv,0.0013425,0.9999999999999999,1.0,0.0
hard_00,23,ds,0.0004706666666666668,0.9999999999999999,1.0,0.0
hard_00,23,pec,0.0007542857925630404,0.9999999999999999,1.0,0.0
hard_00,24,mv,0.0013478333333333326,0.9999999999999999,1.0,0.0
hard_00,24,ds,0.0005851666666666667,0.9999999999999999,1.0,0.0
hard_00,24,pec,0.000783013374356354,0.9999999999999999,1.0,0.0
hard_00,25,mv,0.001086333333333333,0.9999999999999999,1.0,0.0
hard_00,25,ds,0.00029983333333333386,0.9999999999999999,1.0,0.0
hard_00,25,pec,0.0005621279264461647,0.9999999999999999,1.0,0.0
hard_00,26,mv,0.001177666666666668,0.9999999999999999,1.0,0.0
hard_00,26,ds,0.0005156666666666669,0.9999999999999999,1.0,0.0
hard_00,26,pec,0.0006446374384283774,0.9999999999999999,1.0,0.0
hard_00,27,mv,0.000947500000000001,0.9999999999999999,1.0,0.0
hard_00,27,ds,0.00037450000000000065,0.9999999999999999,1.0,0.0
hard_00,27,pec,0.0006114238281189448,0.9999999999999999,1.0,0.0
hard_00,28,mv,0.0017856666666666665,0.9999999999999999,1.0,0.0
hard_00,28,ds,0.0008246666666666664,0.9999999999999999,1.0,0.0
hard_00,28,pec,0.0010573891844242813,0.9999999999999999,1.0,0.0
hard_00,29,mv,0.0008595000000000006,0.9999999999999999,1.0,0.0
hard_00,29,ds,0.0003016666666666666,0.9999999999999999,1.0,0.0
hard_00,29,pec,0.000540735620255819,0.9999999999999999,1.0,0.0
hard_00,30,mv,0.0009420000000000015,0.9999999999999999,1.0,0.0
hard_00,30,ds,0.0003050000000000006,0.9999999999999999,1.0,0.0
hard_00,30,pec,0.0005587288276022456,0.9999999999999999,1.0,0.0
hard_00,31,mv,0.0015123333333333336,0.9999999999999999,1.0,0.0
hard_00,31,ds,0.0005711666666666676,0.9999999999999999,1.0,0.0
hard_00,31,pec,0.0008069182467473314,0.9999999999999999,1.0,0.0
hard_00,32,mv,0.0008151666666666659,0.9999999999999999,1.0,0.0
hard_00,32,ds,0.0004241666666666667,0.9999999999999999,1.0,0.0
hard_00,32,pec,0.0005620564632420321,0.9999999999999999,1.0,0.0
hard_00,33,mv,0.0012428333333333323,0.9999999999999999,1.0,0.0
hard_00,33,ds,0.0006029999999999986,0.9999999999999999,1.0,0.0
hard_00,33,pec,0.0007352894719650308,0.9999999999999999,1.0,0.0
hard_00,34,mv,0.0011693333333333328,0.9999999999999999,1.0,0.0
hard_00,34,ds,0.00038716666666666674,0.9999999999999999,1.0,0.0
hard_00,34,pec,0.0006864793624373278,0.9999999999999999,1.0,0.0
hard_00,35,mv,0.0007550000000000013,0.9999999999999999,1.0,0.0
hard_00,35,ds,0.0001785000000000003,0.9999999999999999,1.0,0.0
hard_00,35,pec,0.000464068627855783,0.9999999999999999,1.0,0.0
hard_00,36,mv,0.0015410000000000016,0.9999999999999999,1.0,0.0
hard_00,36,ds,0.00022700000000000042,0.9999999999999999,1.0,0.0
hard_00,36,pec,0.0004944197990427091,0.9999999999999999,1.0,0.0
hard_00,37,mv,0.0006993333333333336,0.9999999999999999,1.0,0.0
hard_00,37,ds,0.0001236666666666669,0.9999999999999999,1.0,0.0
hard_00,37,pec,0.0002761054599563237,0.9999999999999999,1.0,0.0
hard_00,38,mv,0.0013616666666666664,0.9999999999999999,1.0,0.0
hard_00,38,ds,0.0003955,0.9999999999999999,1.0,0.0
hard_00,38,pec,0.0007114224539030906,0.9999999999999999,1.0,0.0
hard_00,39,mv,0.0008773333333333324,0.9999999999999999,1.0,0.0
hard_00,39,ds,0.00034116666666666567,0.9999999999999999,1.0,0.0
hard_00,39,pec,0.0005531018216061484,0.9999999999999999,1.0,0.0
hard_00,40,mv,0.0008316666666666677,0.9999999999999999,1.0,0.0
hard_00,40,ds,0.0002495000000000004,0.9999999999999999,1.0,0.0
hard_00,40,pec,0.0003937368701165343,0.9999999999999999,1.0,0.0
hard_00,41,mv,0.0010458333333333344,0.9999999999999999,1.0,0.0
hard_00,41,ds,0.00029400000000000053,0.9999999999999999,1.0,0.0
hard_00,41,pec,0.00045646839720672906,0.9999999999999999,1.0,0.0
hard_00,42,mv,0.001442833333333333,0.9999999999999999,1.0,0.0
hard_00,42,ds,0.00039116666666666743,0.9999999999999999,1.0,0.0
hard_00,42,pec,0.0006498664142330652,0.9999999999999999,1.0,0.0
hard_00,43,mv,0.0010351666666666667,0.9999999999999999,1.0,0.0
hard_00,43,ds,0.00039533333333333407,0.9999999999999999,1.0,0.0
hard_00,43,pec,0.0005867990679053127,0.9999999999999999,1.0,0.0
hard_00,44,mv,0.0006139999999999999,0.9999999999999999,1.0,0.0
hard_00,44,ds,0.0003403333333333335,0.9999999999999999,1.0,0.0
hard_00,44,pec,0.0005752284116713251,0.9999999999999999,1.0,0.0
hard_00,45,mv,0.0009483333333333343,0.9999999999999999,1.0,0.0
hard_00,45,ds,0.0002785000000000005,0.9999999999999999,1.0,0.0
hard_00,45,pec,0.0005632399022293984,0.9999999999999999,1.0,0.0
hard_00,46,mv,0.0011021666666666677,0.9999999999999999,1.0,0.0
hard_00,46,ds,0.0003778333333333334,0.9999999999999999,1.0,0.0
hard_00,46,pec,0.0005982393066460422,0.9999999999999999,1.0,0.0
hard_00,47,mv,0.0012531666666666683,0.9999999999999999,1.0,0.0
hard_00,47,ds,0.00035716666666666704,0.9999999999999999,1.0,0.0
hard_00,47,pec,0.0007269414872863415,0.9999999999999999,1.0,0.0
hard_00,48,mv,0.001275833333333333,0.9999999999999999,1.0,0.0
hard_00,48,ds,0.0004033333333333335,0.9999999999999999,1.0,0.0
hard_00,48,pec,0.0006756475358082645,0.9999999999999999,1.0,0.0
hard_00,49,mv,0.001213833333333334,0.9999999999999999,1.0,0.0
hard_00,49,ds,0.00010116666666666684,0.9999999999999999,1.0,0.0
hard_00,49,pec,0.00042530742377954204,0.9999999999999999,1.0,0.0
hard_00,50,mv,0.0010314999999999992,0.9999999999999999,1.0,0.0
hard_00,50,ds,0.00014749999999999968,0.9999999999999999,1.0,0.0
hard_00,50,pec,0.00042204344302154364,0.9999999999999999,1.0,0.0
hard_00,51,mv,0.0009273333333333335,0.9999999999999999,1.0,0.0
hard_00,51,ds,0.0003111666666666668,0.9999999999999999,1.0,0.0
hard_00,51,pec,0.0006424390392474068,0.9999999999999999,1.0,0.0
hard_00,52,mv,0.001041666666666667,0.9999999999999999,1.0,0.0
hard_00,52,ds,0.0002823333333333338,0.9999999999999999,1.0,0.0
hard_00,52,pec,0.0004446725870960328,0.9999999999999999,1.0,0.0
hard_00,53,mv,0.001029499999999999,0.9999999999999999,1.0,0.0
hard_00,53,ds,0.00033566666666666613,0.9999999999999999,1.0,0.0
hard_00,53,pec,0.0005306860431872982,0.9999999999999999,1.0,0.0
hard_00,54,mv,0.0010346666666666664,0.9999999999999999,1.0,0.0
hard_00,54,ds,0.0003870000000000007,0.9999999999999999,1.0,0.0
hard_00,54,pec,0.0005345550194149263,0.9999999999999999,1.0,0.0
hard_00,55,mv,0.0012446666666666667,0.9999999999999999,1.0,0.0
hard_00,55,ds,0.0003839999999999993,0.9999999999999999,1.0,0.0
hard_00,55,pec,0.0007155079309753013,0.9999999999999999,1.0,0.0
hard_00,56,mv,0.0010233333333333342,0.9999999999999999,1.0,0.0
hard_00,56,ds,0.0005133333333333334,0.9999999999999999,1.0,0.0
hard_00,56,pec,0.0008037865411854211,0.9999999999999999,1.0,0.0
hard_00,57,mv,0.0011308333333333344,0.9999999999999999,1.0,0.0
hard_00,57,ds,0.0004215000000000008,0.9999999999999999,1.0,0.0
hard_00,57,pec,0.0006154822991776913,0.9999999999999999,1.0,0.0
hard_00,58,mv,0.001386166666666665,0.9999999999999999,1.0,0.0
hard_00,58,ds,0.0003161666666666666,0.9999999999999999,1.0,0.0
hard_00,58,pec,0.000656161969829286,0.9999999999999999,1.0,0.0
hard_00,59,mv,0.0012795000000000003,0.9999999999999999,1.0,0.0
hard_00,59,ds,0.00048350000000000015,0.9999999999999999,1.0,0.0
hard_00,59,pec,0.0007532924284527849,0.9999999999999999,1.0,0.0
hard_00,60,mv,0.0011378333333333334,0.9999999999999999,1.0,0.0
hard_00,60,ds,0.0006231666666666678,0.9999999999999999,1.0,0.0
hard_00,60,pec,0.000829413791522425,0.9999999999999999,1.0,0.0
hard_00,61,mv,0.0012276666666666673,0.9999999999999999,1.0,0.0
hard_00,61,ds,0.0003298333333333333,0.9999999999999999,1.0,0.0
