config,repetition,method,mse,kendall_tau,ranking_accuracy,labels_per_item
labels_3,0,mv,0.0050951666666666,1.0,1.0,3
labels_3,0,ds,0.0069651666666666,1.0,1.0,3
labels_3,0,pec,0.0108385133044367,1.0,1.0,3
labels_3,1,mv,0.0050126666666666,1.0,1.0,3
labels_3,1,ds,0.0051726666666666,1.0,1.0,3
labels_3,1,pec,0.0067444874450187,1.0,1.0,3
labels_3,2,mv,0.0048675,0.966091783079296,0.9666666666666668,3
labels_3,2,ds,0.0032416666666666,0.8666666666666666,0.9333333333333332,3
labels_3,2,pec,0.0054013771546168,0.8666666666666666,0.9333333333333332,3
labels_3,3,mv,0.0053973333333333,1.0,1.0,3
labels_3,3,ds,0.0033818333333333,1.0,1.0,3
labels_3,3,pec,0.0052549097578937,1.0,1.0,3
labels_3,4,mv,0.0056856666666666,1.0,1.0,3
labels_3,4,ds,0.0040484999999999,1.0,1.0,3
labels_3,4,pec,0.0071918841654803,1.0,1.0,3
labels_3,5,mv,0.0037496666666666,1.0,1.0,3
labels_3,5,ds,0.002507,1.0,1.0,3
labels_3,5,pec,0.0038098042536537,1.0,1.0,3
labels_3,6,mv,0.0046211666666666,1.0,1.0,3
labels_3,6,ds,0.0029261666666666,1.0,1.0,3
labels_3,6,pec,0.0044572033630858,1.0,1.0,3
labels_3,7,mv,0.0031636666666666,1.0,1.0,3
labels_3,7,ds,0.0025223333333333,1.0,1.0,3
labels_3,7,pec,0.0043775252945947,1.0,1.0,3
labels_3,8,mv,0.0048783333333333,1.0,1.0,3
labels_3,8,ds,0.0038633333333333,1.0,1.0,3
labels_3,8,pec,0.0071141473518821,1.0,1.0,3
labels_3,9,mv,0.0067929999999999,1.0,1.0,3
labels_3,9,ds,0.0039884999999999,1.0,1.0,3
labels_3,9,pec,0.0061054950111616,1.0,1.0,3
labels_3,10,mv,0.0056453333333333,1.0,1.0,3
labels_3,10,ds,0.0048126666666666,1.0,1.0,3
labels_3,10,pec,0.0066085679577268,1.0,1.0,3
labels_3,11,mv,0.0050851666666666,1.0,1.0,3
labels_3,11,ds,0.0040291666666666,1.0,1.0,3
labels_3,11,pec,0.0053736100350665,1.0,1.0,3
